height,next_block_mean_fee,hour_mean_fee,six_hour_mean_fee,day_mean_fee,time_btwn_blocks,next_block_sat/vB,hour_block_sat/vB,six_hour_block_sat/vB,day_block_sat/vB,mempool_mean_fee,mempool_mean_vBytes,month,day,hour,minute
662711,34794.19711679906,16366.927623642945,12669.843636363634,13088.551486040229,1543.6781959533691,29.594196744515216,29.4365234375,7.285365853658537,5.022624434389141,0.00014333620145297467,84.58259277439623,12,23,18,42
662712,34952.02625820569,15309.519486174613,12562.178300757878,13046.207801950486,704.1368930339813,29.562578539628568,17.09090909090909,6.269510926118627,4.59777696275614,0.00012962880652070443,84.72243971124863,12,23,18,53
662713,34746.65105285776,11139.731479261569,12568.636549468518,12927.35329773416,1050.7130010128021,29.507531865585165,11.579196608673726,5.892551892551892,4.5,0.00012611164258019032,83.75316159479891,12,23,19,11
662714,33795.757981462404,10906.928882438315,11286.027527527527,13096.960141342755,509.2102630138397,29.43413620792164,8.409494874338625,8.454301075268816,7.517019667170953,0.00011248052341713614,87.3732268981754,12,23,19,19
662715,38351.93528018943,10034.794545454546,10579.55311920939,12845.576296909492,474.4792311191559,29.20575221238938,7.287760416666667,7.314732142857143,7.363313309737366,0.00011603650126268221,90.43670639315937,12,23,19,27
662716,34790.371329879104,11639.874878758486,10666.867917970107,12930.83070810274,764.4199647903442,29.211715867158674,6.840401785714286,6.789017341040462,6.75,0.00012011956224899598,90.71098058902277,12,23,19,40
662717,30096.074275362316,10758.8627264061,10610.503943217665,12733.969006775262,286.9565830230713,29.258353174603172,6.107040280484274,6.217447916666666,6.239416058394161,0.00010489472459867346,94.45851076612517,12,23,19,45
662718,50371.51188986233,11756.124814264489,11222.26871297792,12545.709056484695,399.8404440879822,27.285714285714285,5.549107142857142,5.529411764705881,5.462934947049924,0.00011539101142680665,98.50702336833436,12,23,19,51
662719,41708.11894273127,16441.833740831295,10717.580379746834,12139.126884214014,121.65608501434326,26.956563706563706,5.273333333333333,5.033646896212261,5.031768596374489,0.00010127757415549001,101.79558267015416,12,23,19,53
662720,27844.862660944207,13432.302816901407,9021.149082568807,11295.543365983973,241.67212891578674,26.780446960148335,8.988065121127274,4.8593040847201205,4.9273531269741,9.873704562157272e-05,99.64534597772627,12,23,19,57
662721,64842.85311871228,14878.625482625483,1.0,1.0,861.6641881465912,29.466367713004484,30.482232518267544,1.0,1.0,0.00014584946185942013,97.15275221996363,12,23,20,12
662722,36792.19055793992,29244.488284910974,8863.342679127727,9815.736211031175,501.7755160331726,27.686350435624398,14.550522648083623,5.044642857142858,2.685185185185185,0.0001144840822531605,95.90089347628954,12,23,20,20
662723,42936.20167286246,8320.03806584362,8984.857701329163,9769.01244659112,499.1277987957001,27.10986547085202,4.427083333333334,4.455445544554456,4.449925261584454,0.00010487062921590849,95.05745642436997,12,23,20,28
662724,36155.506510416664,12565.427922814983,1.0,1.0,724.4478771686554,27.229820627802688,26.614454059497376,1.0,1.0,0.00011065173106560987,97.62492844561868,12,23,20,41
662725,34271.58823529411,7689.90404040404,8871.158040665432,10151.636609183462,864.2895879745483,27.119469026548675,4.268888888888889,4.270892784345699,4.268888888888889,0.00010990973567812418,95.64299094058087,12,23,20,55
662726,40678.77944325482,7796.830975954738,7217.595286885247,10273.523594583505,617.3927328586578,26.813238770685576,4.25,4.246893274853801,5.537586201528667,0.00010821748702141466,96.66595014060134,12,23,21,5
662727,33553.74820717132,7819.540389972144,6519.401125401928,10368.759001040582,602.5523991584778,27.030104712041883,4.22756865530303,4.145472782744484,4.171887707384515,0.00010062682902639264,96.6220935037743,12,23,21,15
662728,33227.51470588236,8512.114739629304,6722.22131147541,10671.494819249367,989.0044808387756,27.44931921331316,5.275609756097562,4.0846560846560855,4.0949177877429,0.00011050287252185035,95.42700117245789,12,23,21,32
662729,40858.71546052631,10029.565335138794,6767.933858267716,10632.687748887329,867.8843832015991,26.957639939485627,26.711782215079634,4.019512195121951,3.7334070796460175,0.00011612148018832992,96.02820451780141,12,23,21,46
662730,36659.60853432282,7461.145416953825,7059.158477508649,10632.841284617174,244.18010592460632,26.676106194690266,4.039973351099267,4.035714285714286,4.021447721179625,9.150005183098592e-05,97.66438169014086,12,23,21,50
662731,24311.82733812949,7812.117988394585,1.0,1.0,687.2472579479218,35.59001782531194,33.15588269475067,1.0,1.0,8.659533049040512e-05,100.22667225098995,12,23,22,2
662733,1.0,43926.43259259259,6861.657544956997,10101.813559322034,338.95574593544006,35.59001782531194,3.780242154021809,3.7666666666666666,3.772222222222222,0.00011078652688762743,102.58231245803576,12,23,22,7
662734,59157.386010362694,15817.328888888886,6412.770613107823,9636.769336258914,194.11991715431213,26.61940750640383,17.751697877652933,3.4898810034611976,3.4692107545533393,9.352539056952136e-05,108.28594304786252,12,23,22,11
662735,48263.81875,20416.222748815166,6367.595721925133,9443.644155844157,92.21196985244751,14.828318584070795,11.283987915407854,3.222816399286988,3.172625187759017,8.404340980656769e-05,110.07075835957416,12,23,22,12
662736,34378.80030487805,55896.01379310345,6107.185592185592,9660.333767078724,340.15592908859253,25.69046578694398,26.549862086101047,2.9542097488921715,2.825,9.629272683744314e-05,112.47524539142924,12,23,22,18
662737,37133.94709897611,21535.818897637793,6548.374100719424,10056.778064041224,241.7879729270935,18.168526785714285,5.342696629213483,2.6053811659192827,2.60546875,9.507284593251374e-05,118.64337780102885,12,23,22,22
662738,44132.345403899715,15727.442748091604,7336.216262975779,10275.133084577114,303.21198201179504,20.614864864864863,25.539823008849556,2.5132978723404253,2.5118634660746495,0.0001055170806181344,123.28732079687211,12,23,22,27
662739,30939.308450704226,7074.95918367347,6478.022140221401,9368.579817311875,299.0562000274658,21.417989417989418,18.666294642857142,2.507198815148665,2.507257417698982,9.345371186117468e-05,120.64936355835242,12,23,22,32
662740,20552.110332749562,16883.812182741116,6052.612903225806,7554.681698774081,148.78008890151978,16.31950064927824,26.50863728521819,2.5049745743975236,2.5048169556840074,8.124452782625557e-05,115.66583769633507,12,23,22,34
662741,26757.60706401766,16921.95910780669,6048.388571428571,7600.763498438197,373.42415499687195,19.872093023255815,10.0,2.2798571230886324,2.427350876501526,8.440570253342059e-05,106.73366364401234,12,23,22,41
662742,30373.1487811712,11179.223529411762,1.0,1.0,1741.688784122467,26.868888888888893,26.85614849187935,1.0,1.0,0.00013164529772191673,97.4543479968578,12,23,23,10
662743,32908.289473684206,9687.23137254902,1.0,7296.5103011093515,154.53611588478088,26.701817081799447,3.763062184478369,1.0,2.5,7.713965340179718e-05,106.53329589216945,12,23,23,12
